Fecha;Non-performing_loans_Gross_loans;Loan_loss_reserves_Non-performing_loans
2023-01-31 00:00:00;4.37485311;147.2613615
2024-01-31 00:00:00;4.756686343;142.7862496
2025-01-31 00:00:00;4.074453149;154.3425379
2013-02-28 00:00:00;2.371685271;193.5978854
2014-02-28 00:00:00;2.755196601;168.4248496
2015-02-28 00:00:00;3.020611371;155.3627832
2016-02-29 00:00:00;3.042424338;156.9611765
2017-02-28 00:00:00;3.310566171;150.802287
2017-02-28 00:00:00;3.310903696;150.7909355
2018-02-28 00:00:00;3.675872491;145.584156
2019-02-28 00:00:00;3.635935777;145.8062443
2020-02-29 00:00:00;3.698518383;144.0103473
2021-02-28 00:00:00;4.476582932;171.8704268
2021-02-28 00:00:00;4.447529748;172.0407629
2022-02-28 00:00:00;4.173843967;154.3993287
2023-02-28 00:00:00;4.37898008;148.6810721
2024-02-29 00:00:00;4.809015934;142.0088371
2025-02-28 00:00:00;4.021557481;155.3793499
2013-07-31 00:00:00;2.578452246;179.2040626
2014-07-31 00:00:00;2.938487092;160.6654789
2015-07-31 00:00:00;3.06787113;154.0787209
2016-07-31 00:00:00;3.168686745;153.2538315
2017-07-31 00:00:00;3.475513373;150.6749475
2017-07-31 00:00:00;3.474238279;150.7319425
2018-07-31 00:00:00;3.707264573;143.6905223
2019-07-31 00:00:00;3.723732496;142.9244532
2020-07-31 00:00:00;3.551305762;179.412245
2021-07-31 00:00:00;4.167173691;170.7192394
2021-07-31 00:00:00;4.149255504;170.8593743
2022-07-31 00:00:00;4.175586567;150.364981
2023-07-31 00:00:00;4.630612961;143.1052
2024-07-31 00:00:00;4.779982734;139.824389
2025-07-31 00:00:00;3.852804572;158.9217965
2013-06-30 00:00:00;2.524387952;183.0301613
2014-06-30 00:00:00;2.844811524;165.3360272
2015-06-30 00:00:00;3.04000601;155.6818772
2016-06-30 00:00:00;3.174044047;153.0882753
2017-06-30 00:00:00;3.40822107;153.7048384
2017-06-30 00:00:00;3.40714374;153.7210047
2018-06-30 00:00:00;3.624273015;145.9791309
2019-06-30 00:00:00;3.66836971;144.4440449
2020-06-30 00:00:00;3.701839189;164.8715133
2021-06-30 00:00:00;4.124559541;175.9541551
2021-06-30 00:00:00;4.105666077;176.100062
2022-06-30 00:00:00;4.150273948;152.8151466
2023-06-30 00:00:00;4.457669904;146.6237676
2024-06-30 00:00:00;4.836642669;139.3215769
2025-06-30 00:00:00;3.843132803;159.474922
2013-03-31 00:00:00;2.464927557;187.5066225
2014-03-31 00:00:00;2.789702417;166.5851986
2015-03-31 00:00:00;2.959656755;158.3917611
2016-03-31 00:00:00;3.045212021;156.9105535
2017-03-31 00:00:00;3.320101605;151.4930691
2017-03-31 00:00:00;3.318635758;151.5215901
2018-03-31 00:00:00;3.562563963;147.8831335
2019-03-31 00:00:00;3.588202194;146.3423217
2020-03-31 00:00:00;3.727792003;145.6252179
2021-03-31 00:00:00;4.347833325;176.8944913
2021-03-31 00:00:00;4.320417053;177.0636869
2022-03-31 00:00:00;4.139889902;153.9836798
2023-03-31 00:00:00;4.321515262;149.0826534
2024-03-31 00:00:00;4.871411078;140.2398702
2025-03-31 00:00:00;4.053012438;154.1429648
2013-05-31 00:00:00;2.572183433;182.1052857
2014-05-31 00:00:00;2.934323508;161.9538803
2015-05-31 00:00:00;3.091860301;154.1723308
2016-05-31 00:00:00;3.203774284;151.6879633
2017-05-31 00:00:00;3.458141384;151.2849611
2017-05-31 00:00:00;3.456906806;151.3037366
2018-05-31 00:00:00;3.637552231;145.4444582
2019-05-31 00:00:00;3.700086355;142.9209931
2020-05-31 00:00:00;3.635463559;158.1100535
2021-05-31 00:00:00;4.151626809;175.8532702
2021-05-31 00:00:00;4.127776942;176.0191596
2022-05-31 00:00:00;4.137183997;154.4128937
2023-05-31 00:00:00;4.41338086;147.1119562
2024-05-31 00:00:00;4.893111031;138.1051387
2025-05-31 00:00:00;3.936092514;156.5458332
2013-11-30 00:00:00;2.597457247;176.1479577
2014-11-30 00:00:00;2.942203358;159.8459468
2015-11-30 00:00:00;2.967009976;156.8215309
2016-11-30 00:00:00;3.260930362;151.8460373
2017-11-30 00:00:00;3.547909745;147.4903589
2017-11-30 00:00:00;3.546143101;147.5676218
2018-11-30 00:00:00;3.644053287;145.3362638
2019-11-30 00:00:00;3.64827225;145.3503744
2020-11-30 00:00:00;4.214223878;175.6438454
2021-11-30 00:00:00;4.222258005;157.6622137
2021-11-30 00:00:00;4.20245644;157.8431093
2022-11-30 00:00:00;4.36343354;145.6346263
2023-11-30 00:00:00;4.680973791;142.8981483
2024-11-30 00:00:00;4.241288022;149.9683365
2025-11-30 00:00:00;3.539934564;167.372358
2013-10-31 00:00:00;2.628994553;175.3628013
2014-10-31 00:00:00;2.95191811;159.2704628
2015-10-31 00:00:00;2.999429933;156.6427517
2016-10-31 00:00:00;3.264728291;151.2880119
2017-10-31 00:00:00;3.568000619;147.7160478
2017-10-31 00:00:00;3.566791801;147.7739054
2018-10-31 00:00:00;3.678642895;143.8605515
2019-10-31 00:00:00;3.682936767;144.1662301
2020-10-31 00:00:00;4.054446095;178.0393619
2021-10-31 00:00:00;4.254148621;160.0718416
2021-10-31 00:00:00;4.236087876;160.2122788
2022-10-31 00:00:00;4.388030784;144.5272393
2023-10-31 00:00:00;4.696257018;142.2879364
2024-10-31 00:00:00;4.396045451;147.4861287
2025-10-31 00:00:00;3.683930295;163.7425922
2013-09-30 00:00:00;2.587028904;177.7181183
2014-09-30 00:00:00;2.907760913;161.544958
2015-09-30 00:00:00;2.931932843;158.2935253
2016-09-30 00:00:00;3.169921662;154.316023
2017-09-30 00:00:00;3.491126986;149.4745395
2017-09-30 00:00:00;3.490126208;149.5257365
2018-09-30 00:00:00;3.643764182;145.1244189
2019-09-30 00:00:00;3.700274668;143.8520096
2020-09-30 00:00:00;3.833726845;182.0051235
2021-09-30 00:00:00;4.17340103;167.1754512
2021-09-30 00:00:00;4.155035942;167.315276
2022-09-30 00:00:00;4.305997539;146.3255278
2023-09-30 00:00:00;4.584652896;143.5231032
2024-09-30 00:00:00;4.492021418;143.8974684
2025-09-30 00:00:00;3.717264506;162.447765
